City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sumbawanga,TZ,-7.9667,31.6167,56.68,89,100,2.15,overcast clouds
80,Pochutla,MX,15.7432,-96.4661,80.01,58,0,3.53,clear sky
81,Kaoma,ZM,-14.7833,24.8,64.58,96,100,4.29,light rain
82,Port Lincoln,AU,-34.7333,135.8667,66.2,67,67,14.97,broken clouds
83,Meadow Lake,US,34.8014,-106.5436,32.0,59,75,10.36,broken clouds
84,Progreso,MX,21.2833,-89.6667,81.0,72,30,9.64,scattered clouds
85,Inhambane,MZ,-23.865,35.3833,77.81,88,91,6.22,overcast clouds
86,Pop,UZ,40.8736,71.1089,24.8,68,7,4.61,clear sky
87,Cabo San Lucas,MX,22.8909,-109.9124,62.01,69,100,15.01,overcast clouds
88,Kapaa,US,22.0752,-159.319,75.99,83,90,13.8,light rain
89,Aromashevo,RU,56.8602,68.6375,25.21,97,100,12.26,overcast clouds
90,West Bend,US,43.4253,-88.1834,18.0,93,1,9.73,clear sky
91,Shuangyang,CN,43.5242,125.6736,6.8,51,0,11.18,clear sky
92,Olinda,BR,-8.0089,-34.8553,73.4,88,75,2.3,mist
93,Iracoubo,GF,5.4802,-53.2011,77.54,86,99,14.58,overcast clouds
94,Kuala Kangsar,MY,4.7667,100.9333,75.2,83,20,4.61,few clouds
95,Lebu,CL,-37.6167,-73.65,56.3,78,92,15.43,overcast clouds
96,Talisay,PH,10.2447,123.8494,80.6,83,90,12.66,overcast clouds
97,Puntarenas,CR,9.9763,-84.8384,77.95,75,0,2.75,clear sky
98,Viedma,AR,-40.8135,-62.9967,62.02,63,0,12.21,clear sky
99,Manuk Mangkaw,PH,4.8,119.85,80.94,79,32,11.21,scattered clouds
100,San Patricio,US,28.017,-97.5169,71.6,83,40,6.91,scattered clouds
101,College,US,64.8569,-147.8028,-9.0,69,20,1.7,few clouds
102,Kamenka,RU,51.3223,42.7678,34.16,97,100,18.34,overcast clouds
103,El Carrizo,MX,24.0261,-106.8814,62.01,78,67,3.0,broken clouds
104,Mahebourg,MU,-20.4081,57.7,71.6,88,20,8.05,few clouds
105,Saint George,US,37.1041,-113.5841,37.4,70,90,4.61,overcast clouds
106,Ponta Delgada,PT,37.7333,-25.6667,63.0,94,75,25.32,broken clouds
107,Lompoc,US,34.6391,-120.4579,50.0,62,90,3.96,overcast clouds
108,Abha,SA,18.2164,42.5053,53.6,57,0,2.51,clear sky
109,Oranjemund,NA,-28.55,16.4333,61.59,90,86,12.57,overcast clouds
110,Arlit,NE,18.7369,7.3853,61.57,22,0,7.14,clear sky
111,Yerbogachen,RU,61.2767,108.0108,-42.65,80,77,2.15,broken clouds
112,Tromso,NO,69.6496,18.957,21.0,86,0,2.3,clear sky
113,Lavrentiya,RU,65.5833,-171.0,-4.65,87,40,3.24,scattered clouds
114,Bathsheba,BB,13.2167,-59.5167,77.0,73,20,16.11,few clouds
115,New Norfolk,AU,-42.7826,147.0587,61.0,47,100,1.99,overcast clouds
116,Nishihara,JP,26.1842,127.7558,68.0,68,75,17.27,broken clouds
117,Pismo Beach,US,35.1428,-120.6413,48.99,71,90,5.75,overcast clouds
118,Gat,IL,31.61,34.7642,55.0,100,100,1.01,overcast clouds
119,Port Elizabeth,ZA,-33.918,25.5701,68.0,94,0,10.36,clear sky
120,Cabedelo,BR,-6.9811,-34.8339,78.8,83,20,6.91,few clouds
121,Faya,SA,18.3851,42.4509,53.6,57,0,2.71,clear sky
122,Tual,ID,-5.6667,132.75,82.85,79,100,18.57,light rain
123,Haines Junction,CA,60.7522,-137.5108,-9.4,77,0,3.44,clear sky
124,Kudahuvadhoo,MV,2.6708,72.8944,80.92,74,100,13.53,overcast clouds
125,Hithadhoo,MV,-0.6,73.0833,80.96,77,85,11.86,overcast clouds
126,Kadnikov,RU,59.5022,40.338,32.27,97,100,9.24,light snow
127,Westport,US,41.1415,-73.3579,30.99,93,90,10.36,light rain
128,Inirida,CO,3.8653,-67.9239,73.85,91,46,2.06,scattered clouds
129,Pyu,MM,18.4833,96.4333,73.36,41,9,4.07,clear sky
130,Vidim,RU,56.4088,103.1106,-28.79,81,1,1.48,clear sky
131,Panzhihua,CN,26.5851,101.7128,51.01,49,1,1.01,clear sky
132,Te Anau,NZ,-45.4167,167.7167,65.7,79,41,10.94,moderate rain
133,Kargasok,RU,59.0556,80.8572,-5.96,91,100,7.47,light snow
134,Shimoda,JP,34.6667,138.95,62.6,94,75,21.85,mist
135,Tecoanapa,MX,16.5167,-98.75,76.84,79,19,5.93,few clouds
136,Lahaina,US,20.8783,-156.6825,82.4,53,40,14.97,scattered clouds
137,Bull Savanna,JM,17.8868,-77.5902,72.34,77,11,10.11,few clouds
138,Hede,CN,33.7681,120.2517,44.89,58,0,9.06,clear sky
139,Guariba,BR,-21.36,-48.2283,75.2,83,0,3.51,clear sky
140,Vaini,TO,-21.2,-175.2,82.4,83,75,11.5,broken clouds
141,Butaritari,KI,3.0707,172.7902,81.43,75,0,9.17,clear sky
142,Kenai,US,60.5544,-151.2583,18.0,85,1,3.44,clear sky
143,Pevek,RU,69.7008,170.3133,-29.81,85,36,1.9,scattered clouds
144,Salvador,SV,13.8333,-88.9167,78.8,83,20,5.75,few clouds
145,Zhangye,CN,38.9342,100.4517,19.08,79,56,2.01,broken clouds
146,Ternate,ID,0.8,127.4,82.99,68,100,3.33,overcast clouds
147,Kahului,US,20.8947,-156.47,82.4,51,40,21.85,scattered clouds
148,Pisco,PE,-13.7,-76.2167,68.0,88,99,11.99,overcast clouds
149,Arcata,US,40.8665,-124.0828,42.8,81,90,19.57,heavy intensity rain
150,Mandera,KE,3.9366,41.867,72.3,74,0,5.61,clear sky
151,Sao Filipe,CV,14.8961,-24.4956,72.68,70,0,3.36,clear sky
152,Tigil,RU,57.8,158.6667,1.94,93,100,8.52,overcast clouds
153,Margate,GB,51.3813,1.3862,44.01,91,100,3.0,light rain
154,Palana,RU,59.1167,159.9667,-1.59,96,100,11.63,overcast clouds
155,Zharkent,KZ,44.1628,80.0,14.99,83,2,1.14,clear sky
156,Aksu,CN,41.1231,80.2644,15.48,87,0,2.35,clear sky
157,Dhidhdhoo,MV,6.8833,73.1,80.51,61,100,6.85,overcast clouds
158,Leninogorsk,RU,54.6026,52.4609,22.96,98,100,14.85,overcast clouds
159,Nanortalik,GL,60.1432,-45.2371,15.64,83,0,6.29,clear sky
160,Angoche,MZ,-16.2325,39.9086,76.28,85,4,3.51,clear sky
161,Mildura,AU,-34.2,142.15,75.2,35,0,10.36,clear sky
162,Thompson,CA,55.7435,-97.8558,-14.8,76,75,4.07,light snow
163,Maiduguri,NG,11.8464,13.1603,66.56,25,68,7.07,broken clouds
164,Laguna,US,38.421,-121.4238,48.99,53,90,26.46,overcast clouds
165,Rawson,AR,-43.3002,-65.1023,63.84,44,11,8.88,few clouds
166,Longyearbyen,SJ,78.2186,15.6401,6.8,56,0,17.27,clear sky
167,Saint-Philippe,RE,-21.3585,55.7679,75.2,57,0,8.05,clear sky
168,Ulaangom,MN,49.9811,92.0667,-17.57,78,76,1.07,broken clouds
169,Konskie,PL,51.1917,20.4061,32.0,1,100,11.92,overcast clouds
170,Porto Novo,BJ,6.4965,2.6036,77.79,85,75,4.72,broken clouds
171,Carbonear,CA,47.7332,-53.2148,34.0,100,90,20.71,light snow
172,Riviere-Au-Renard,CA,48.9957,-64.3971,28.4,93,90,4.61,overcast clouds
173,Khilok,RU,51.3674,110.4676,-15.32,84,99,7.4,overcast clouds
174,Port Hardy,CA,50.6996,-127.4199,44.6,65,75,29.93,broken clouds
175,Azare,NG,11.6765,10.1948,66.88,24,79,8.63,broken clouds
176,Majene,ID,-3.5403,118.9707,86.04,61,93,7.63,overcast clouds
177,Dunmore Town,BS,25.5,-76.65,75.49,84,59,12.64,broken clouds
178,Bosaso,SO,11.2842,49.1816,69.53,77,18,2.57,few clouds
179,Tuy Hoa,VN,13.0833,109.3,73.76,84,99,10.51,overcast clouds
180,Karlshamn,SE,56.1706,14.8619,23.0,100,0,4.61,clear sky
181,Nikolskoye,RU,59.7035,30.7861,34.0,93,90,8.95,light snow
182,Kaitangata,NZ,-46.2817,169.8464,77.0,45,100,4.0,overcast clouds
183,Ahuimanu,US,21.4447,-157.8378,80.6,69,75,11.5,broken clouds
184,Severo-Kurilsk,RU,50.6789,156.125,26.04,95,83,21.68,light snow
185,Lobito,AO,-12.3481,13.5456,75.47,78,93,3.56,overcast clouds
186,Tiksi,RU,71.6872,128.8694,-37.37,83,100,4.05,overcast clouds
187,Marsabit,KE,2.3284,37.9899,64.17,70,26,7.16,scattered clouds
188,Norman Wells,CA,65.282,-126.8329,-16.6,76,75,2.3,light snow
189,Kunya,NG,12.2233,8.5325,62.6,34,0,2.3,clear sky
190,Hobart,AU,-42.8794,147.3294,61.0,38,75,14.97,broken clouds
191,Iqaluit,CA,63.7506,-68.5145,-5.01,77,1,5.75,clear sky
192,Ustka,PL,54.5805,16.8619,34.72,86,36,16.08,scattered clouds
193,Codrington,AU,-38.2667,141.9667,63.05,58,74,20.02,broken clouds
194,Sur,OM,22.5667,59.5289,64.42,64,0,2.82,clear sky
195,Meulaboh,ID,4.1363,96.1285,78.03,82,100,4.25,overcast clouds
196,Kommunisticheskiy,RU,61.6789,64.4819,2.62,94,100,6.2,light snow
197,Tsabong,BW,-26.0217,22.401,75.31,70,90,13.22,light rain
198,Tommot,RU,58.9564,126.2925,-34.01,79,100,4.61,light snow
199,Georgiyevka,KZ,43.0369,74.7114,3.2,85,90,2.24,fog
200,Sioux Lookout,CA,50.1001,-91.917,-13.0,77,75,8.05,broken clouds
201,Shelburne,CA,44.0787,-80.2041,24.01,93,99,11.72,light snow
202,Constitucion,CL,-35.3333,-72.4167,54.39,81,0,11.43,clear sky
203,Nkhotakota,MW,-12.9274,34.2961,72.54,82,100,4.34,light rain
204,Guerrero Negro,MX,27.9769,-114.0611,57.04,60,34,10.83,scattered clouds
205,Miles City,US,46.4083,-105.8406,21.2,63,90,9.22,overcast clouds
206,Yulara,AU,-25.2406,130.9889,77.0,78,75,11.5,broken clouds
207,Forecariah,GN,9.4306,-13.0881,71.37,91,0,2.91,clear sky
208,La Palma,US,33.8464,-118.0467,52.0,50,1,3.44,clear sky
209,Florence,IT,43.7667,11.25,35.01,86,0,2.3,clear sky
210,Aklavik,CA,68.2191,-135.0107,-9.4,77,90,3.44,light snow
211,Vila Velha,BR,-20.3297,-40.2925,77.0,83,0,5.75,clear sky
212,Padang,ID,-0.9492,100.3543,78.8,83,20,2.3,few clouds
213,Shenzhen,CN,22.5455,114.0683,68.0,67,52,6.15,broken clouds
214,Narsaq,GL,60.9167,-46.05,9.95,78,0,9.06,clear sky
215,Dehloran,IR,32.6941,47.2679,53.67,41,56,2.33,broken clouds
216,Ixtapa,MX,20.7,-105.2,69.01,83,65,3.0,broken clouds
217,Esperance,AU,-33.8667,121.9,64.4,82,90,12.66,light rain
218,Wellington,NZ,-41.2866,174.7756,75.2,60,17,25.32,few clouds
219,Davidson,US,36.1501,-86.7833,50.0,66,1,11.5,clear sky
220,Orange Cove,US,36.6244,-119.3137,48.99,66,90,5.75,overcast clouds
221,Chivacoa,VE,10.1603,-68.895,70.39,85,47,5.82,scattered clouds
222,Evensk,RU,61.95,159.2333,2.52,86,100,12.48,overcast clouds
223,Tessalit,ML,20.1986,1.0114,63.66,24,0,9.84,clear sky
224,Ambovombe,MG,-25.1667,46.0833,74.07,90,65,6.93,broken clouds
225,Kodiak,US,57.79,-152.4072,37.4,48,1,11.5,clear sky
226,Kavaratti,IN,10.5669,72.642,80.58,72,37,15.17,scattered clouds
227,Dingle,PH,10.9995,122.6711,80.46,81,99,11.14,overcast clouds
228,Nuuk,GL,64.1835,-51.7216,15.17,86,2,9.15,clear sky
229,Goderich,CA,43.7501,-81.7165,24.8,86,89,6.91,overcast clouds
230,Juneau,US,58.3019,-134.4197,23.0,50,20,8.05,few clouds
231,Pascagoula,US,30.3658,-88.5561,64.4,88,90,3.44,overcast clouds
232,Huadian,CN,42.9633,126.7478,9.18,86,0,10.16,clear sky
233,Paamiut,GL,61.994,-49.6678,14.74,79,0,9.64,clear sky
234,Imbituba,BR,-28.24,-48.6703,77.0,94,0,6.91,light rain
235,Hay River,CA,60.8156,-115.7999,-7.6,77,100,3.44,light snow
236,Gorontalo,ID,0.5412,123.0595,87.66,54,97,3.6,overcast clouds
237,Omboue,GA,-1.5746,9.2618,77.43,90,100,4.03,light rain
238,Tenabo,MX,20.05,-90.2333,79.97,62,0,5.73,clear sky
239,Suntar,RU,62.1444,117.6319,-48.03,76,61,2.04,broken clouds
240,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,83,90,12.66,light snow
