City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kavieng,PG,2021-01-24 05:25:11,-2.5744,150.7967,85.26,63,67,6.2
68,Thompson,CA,2021-01-24 05:25:12,55.7435,-97.8558,-14.8,76,90,12.66
69,Hilo,US,2021-01-24 05:25:12,19.7297,-155.09,71.6,83,90,5.75
70,College,US,2021-01-24 05:25:12,64.8569,-147.8028,19.99,78,40,1.63
71,Port Hardy,CA,2021-01-24 05:25:13,50.6996,-127.4199,39.2,87,90,17.27
72,Meulaboh,ID,2021-01-24 05:25:13,4.1363,96.1285,85.64,62,35,4.07
73,Touros,BR,2021-01-24 05:25:13,-5.1989,-35.4608,75.2,94,40,2.3
74,Weligama,LK,2021-01-24 05:25:13,5.9667,80.4167,83.57,65,35,1.81
75,Soavinandriana,MG,2021-01-24 05:25:13,-19.1667,46.7333,68.77,83,8,0.56
76,Cabo San Lucas,MX,2021-01-24 05:25:14,22.8909,-109.9124,64.0,91,4,9.42
77,Ewa Beach,US,2021-01-24 05:25:14,21.3156,-158.0072,75.2,69,1,9.22
78,Wadi Maliz,TN,2021-01-24 05:25:14,36.4681,8.5495,42.8,81,20,5.86
79,Celestun,MX,2021-01-24 05:25:14,20.8667,-90.4,73.54,82,0,11.18
80,Dalvik,IS,2021-01-24 05:25:14,65.9702,-18.5286,28.4,93,90,13.8
81,Huambo,AO,2021-01-24 05:20:15,-12.7761,15.7392,53.33,91,94,0.81
82,Kazanskoye,RU,2021-01-24 05:25:15,55.6448,69.235,-32.12,82,5,3.91
83,Talcahuano,CL,2021-01-24 05:25:15,-36.7167,-73.1167,59.0,94,90,3.44
84,Beringovskiy,RU,2021-01-24 05:25:15,63.05,179.3167,-3.93,88,96,2.75
85,Bambous Virieux,MU,2021-01-24 05:25:15,-20.3428,57.7575,86.0,74,75,6.91
86,Sorland,NO,2021-01-24 05:25:15,67.667,12.6934,27.73,97,77,15.21
87,Chuy,UY,2021-01-24 05:25:16,-33.6971,-53.4616,69.55,96,4,5.12
88,Dingle,PH,2021-01-24 05:25:16,10.9995,122.6711,85.32,73,44,7.76
89,Gimli,CA,2021-01-24 05:25:16,50.6336,-96.9907,5.0,78,95,13.8
90,Yulara,AU,2021-01-24 05:25:16,-25.2406,130.9889,95.0,38,40,19.57
91,Yorkton,CA,2021-01-24 05:25:16,51.2167,-102.4677,-16.6,83,1,11.5
92,Paka,MY,2021-01-24 05:25:17,4.6374,103.4368,82.4,83,40,6.91
93,Miri,MY,2021-01-24 05:25:17,4.4148,114.0089,86.0,74,40,5.75
94,Dengzhou,CN,2021-01-24 05:25:17,37.8086,120.7508,40.69,70,100,2.77
95,Hwange,ZW,2021-01-24 05:25:17,-18.3693,26.5019,69.39,91,74,0.87
96,Torbay,CA,2021-01-24 05:25:18,47.6666,-52.7314,24.01,80,40,27.63
97,Avarua,CK,2021-01-24 05:25:18,-21.2078,-159.775,84.2,70,40,12.66
98,Laguna,US,2021-01-24 05:25:18,38.421,-121.4238,44.01,81,1,2.08
99,Yar-Sale,RU,2021-01-24 05:25:18,66.8333,70.8333,-39.26,80,16,4.21
100,Norman Wells,CA,2021-01-24 05:25:18,65.282,-126.8329,-14.8,84,90,4.61
101,Saskylakh,RU,2021-01-24 05:25:18,71.9167,114.0833,-32.98,81,57,6.6
102,Itapirapua,BR,2021-01-24 05:25:19,-15.8233,-50.6133,70.7,89,87,2.89
103,Dikson,RU,2021-01-24 05:25:19,73.5069,80.5464,-15.61,90,92,9.1
104,Carnarvon,AU,2021-01-24 05:25:19,-24.8667,113.6333,82.4,51,4,13.8
105,Puerto Ayora,EC,2021-01-24 05:25:19,-0.7393,-90.3518,75.99,95,66,3.0
106,Port Blair,IN,2021-01-24 05:25:19,11.6667,92.75,80.69,62,15,11.36
107,Port Elizabeth,ZA,2021-01-24 05:25:20,-33.918,25.5701,64.4,94,75,18.41
108,Kodinar,IN,2021-01-24 05:25:20,20.7903,70.7031,76.32,42,0,4.59
109,Pierre,US,2021-01-24 05:22:32,44.3683,-100.351,19.99,85,1,6.91
110,Gouyave,GD,2021-01-24 05:25:20,12.1646,-61.7296,77.0,83,20,6.91
111,Minuri,PH,2021-01-24 05:25:20,16.535,121.8574,76.68,84,99,2.71
112,Kalianget,ID,2021-01-24 05:25:21,-7.05,113.9333,83.77,74,100,7.45
113,Atuona,PF,2021-01-24 05:25:21,-9.8,-139.0333,77.99,80,10,17.34
114,Shimoda,JP,2021-01-24 05:25:21,34.6667,138.95,46.4,87,75,33.38
115,Seydi,TM,2021-01-24 05:25:21,39.4816,62.9137,33.67,81,0,12.97
116,Luderitz,NA,2021-01-24 05:25:21,-26.6481,15.1594,70.07,57,91,24.11
117,Lebu,CL,2021-01-24 05:25:22,-37.6167,-73.65,56.82,85,0,15.93
118,Maningrida,AU,2021-01-24 05:25:22,-12.0667,134.2667,84.43,73,100,10.18
119,La Rioja,ES,2021-01-24 05:24:39,42.25,-2.5,46.4,76,90,10.36
120,Camacha,PT,2021-01-24 05:25:22,33.0833,-16.3333,60.8,94,40,3.44
121,Fort Nelson,CA,2021-01-24 05:25:22,58.8053,-122.7002,-2.2,78,90,6.91
122,Bohodukhiv,UA,2021-01-24 05:25:23,50.1647,35.5276,39.2,100,90,11.18
123,Portland,US,2021-01-24 05:22:29,45.5234,-122.6762,42.01,75,90,4.61
124,Naze,JP,2021-01-24 05:25:23,28.3667,129.4833,69.8,64,20,19.57
125,Alice Springs,AU,2021-01-24 05:23:33,-23.7,133.8833,77.0,78,40,9.22
126,Pangnirtung,CA,2021-01-24 05:25:23,66.1451,-65.7125,15.49,78,46,3.02
127,Airai,TL,2021-01-24 05:25:23,-8.9266,125.4092,68.43,97,100,3.18
128,Tromso,NO,2021-01-24 05:25:24,69.6496,18.957,19.4,68,20,11.5
129,Katsuura,JP,2021-01-24 05:25:24,35.1333,140.3,46.0,78,100,3.0
130,Calamar,CO,2021-01-24 05:25:24,10.2511,-74.9146,78.8,89,40,8.05
131,Granada,ES,2021-01-24 05:22:55,37.25,-3.25,51.01,96,95,1.01
132,Ugoofaaru,MV,2021-01-24 05:25:24,5.6667,73.0,82.76,72,5,10.78
133,Zabkowice Slaskie,PL,2021-01-24 05:25:25,50.5897,16.8124,34.0,57,100,0.89
134,Hermanus,ZA,2021-01-24 05:25:25,-34.4187,19.2345,59.0,95,30,10.0
135,Port Hedland,AU,2021-01-24 05:25:25,-20.3167,118.5667,98.6,36,68,24.16
136,Lata,PT,2021-01-24 05:25:25,40.1629,-8.3327,54.0,92,49,4.5
137,Te Anau,NZ,2021-01-24 05:25:25,-45.4167,167.7167,56.17,88,100,6.6
138,Verkhnyaya Toyma,RU,2021-01-24 05:25:26,62.2349,44.9985,16.72,97,96,5.57
139,Moindou,NC,2021-01-24 05:25:26,-21.6924,165.677,80.6,69,90,21.85
140,Praia Da Vitoria,PT,2021-01-24 05:25:26,38.7333,-27.0667,62.6,88,75,19.15
141,Fairbanks,US,2021-01-24 05:25:26,64.8378,-147.7164,19.99,78,40,2.84
142,Burgeo,CA,2021-01-24 05:25:26,47.6167,-57.6152,27.99,93,99,18.7
143,Leningradskiy,RU,2021-01-24 05:25:27,69.3833,178.4167,-17.1,79,0,2.13
144,El Alto,PE,2021-01-24 05:25:27,-4.2714,-81.2147,71.89,79,100,10.74
145,Butaritari,KI,2021-01-24 05:25:27,3.0707,172.7902,79.99,77,68,7.94
146,Hofn,IS,2021-01-24 05:25:27,64.2539,-15.2082,32.29,88,100,26.11
147,Quatre Cocos,MU,2021-01-24 05:25:28,-20.2078,57.7625,86.0,74,75,6.91
148,Tarko-Sale,RU,2021-01-24 05:25:28,64.9225,77.785,-44.27,75,0,6.42
149,Comodoro Rivadavia,AR,2021-01-24 05:25:28,-45.8667,-67.5,53.6,76,0,4.61
150,Palmer,US,2021-01-24 05:25:28,42.1584,-72.3287,16.0,61,0,3.0
151,Gushikawa,JP,2021-01-24 05:25:28,26.3544,127.8686,68.0,64,75,17.27
152,Cidreira,BR,2021-01-24 05:25:28,-30.1811,-50.2056,74.93,85,0,14.09
153,Jamestown,US,2021-01-24 05:25:29,42.097,-79.2353,17.6,79,90,5.75
154,Qaracala,AZ,2021-01-24 05:25:29,39.8132,48.9523,35.24,77,0,6.4
155,Cabatuan,PH,2021-01-24 05:25:29,10.8794,122.486,86.18,66,99,6.93
156,Whitehorse,CA,2021-01-24 05:25:29,60.7161,-135.0538,10.4,85,90,6.91
157,Castro,BR,2021-01-24 05:25:30,-24.7911,-50.0119,62.78,97,100,5.57
158,Valdivia,CL,2021-01-24 05:22:11,-39.8142,-73.2459,60.8,72,0,5.75
159,Teya,RU,2021-01-24 05:25:30,60.3778,92.6267,-9.38,87,100,1.45
160,Aswan,EG,2021-01-24 05:25:30,24.0934,32.907,52.84,40,0,9.4
161,Huarmey,PE,2021-01-24 05:25:30,-10.0681,-78.1522,71.83,75,99,7.49
162,Bethel,US,2021-01-24 05:25:30,41.3712,-73.414,19.99,49,1,6.91
163,Margate,GB,2021-01-24 05:25:31,51.3813,1.3862,34.0,81,20,12.19
164,Lagos,NG,2021-01-24 05:21:46,6.5833,3.75,73.4,94,100,2.3
165,Tomatlan,MX,2021-01-24 05:25:31,19.9333,-105.25,67.66,78,76,0.51
166,Andijon,UZ,2021-01-24 05:25:31,40.7821,72.3442,25.0,62,81,20.0
167,Korcula,HR,2021-01-24 05:25:31,42.9622,17.1369,44.6,87,75,1.14
168,Acapulco,MX,2021-01-24 05:25:20,16.8634,-99.8901,77.5,78,100,2.42
169,Moron,AR,2021-01-24 05:25:32,-34.6534,-58.6198,82.0,74,0,1.01
170,La Libertad,EC,2021-01-24 05:25:32,-2.2333,-80.9,77.34,78,89,6.06
171,Aripuana,BR,2021-01-24 05:25:32,-9.1667,-60.6333,71.92,98,50,1.03
172,Bandar-E Anzali,IR,2021-01-24 05:25:32,37.4727,49.4622,41.0,75,20,4.09
173,Port Alfred,ZA,2021-01-24 05:25:32,-33.5906,26.891,66.99,92,88,8.01
174,Edd,ER,2021-01-24 05:25:33,13.9297,41.6925,78.31,39,18,8.12
175,Lagoa,PT,2021-01-24 05:25:33,39.05,-27.9833,61.45,91,97,26.96
176,Gigmoto,PH,2021-01-24 05:25:33,13.7796,124.39,83.55,72,33,4.5
177,Lompoc,US,2021-01-24 05:25:33,34.6391,-120.4579,46.4,87,20,5.75
178,Georgetown,MY,2021-01-24 05:25:33,5.4112,100.3354,87.8,66,20,8.05
179,Morehead,US,2021-01-24 05:25:34,37.2711,-87.1764,36.0,37,40,3.44
180,Bahia Honda,CU,2021-01-24 05:25:34,22.9036,-83.1592,69.69,84,23,6.08
181,Rodding,DK,2021-01-24 05:25:34,55.3657,9.0632,33.8,100,20,4.61
182,Boende,CD,2021-01-24 05:25:34,-0.2167,20.8667,71.28,90,71,2.08
183,Srednekolymsk,RU,2021-01-24 05:25:35,67.45,153.6833,-27.06,85,100,8.23
184,Chihuahua,MX,2021-01-24 05:25:35,28.5,-106.0,55.0,40,63,1.99
185,Longyearbyen,SJ,2021-01-24 05:25:18,78.2186,15.6401,15.8,62,75,12.66
186,Ranau,MY,2021-01-24 05:25:35,5.9538,116.6641,87.8,74,20,6.91
187,Kamakwie,SL,2021-01-24 05:25:36,9.5,-12.2333,66.49,92,4,2.06
